Source,Abbreviation,Content,Rating,,,,
Wateen,Wateen,شكرًا لكم تطبيق ممتاز,5,شكرا لكم تطبيق ممتاز,شكر ل تطبيق ممتاز,ar,
Wateen,Wateen,شكراً جزيلاًتم اصلاح مشكلة عدم اكتمال التسجيل بسبب خطأ في رمز التفعيل,5,شكرا جزيلا تم اصلاح مشكله عدم اكتمال التسجيل بسبب خطا في رمز التفعيل,شكر جزل تم إصلاح مشكل عدم اكتمال تسجيل سبب خط في رمز تفعيل,ar,
Wateen,Wateen,"شكراً لكم على جهودكم في هذا التطبيق بحجم الشعور الذي يصلني بعد كل تبرعالله يكتب اجركم❤️

متعه ؛؛ راحه ؛؛ أجر ؛؛ انقاذ حياه ❤️ 

ملاحظه بسيطه : 
اتمنى التبرعات السابقه في جميع المستشفيات مربوطه ببنك الدم للمتبرعين 🌹",5,شكرا لكم علي جهودكم في هذا التطبيق بحجم الشعور الذي يصلني بعد كل تبرع الله يكتب اجركم متعه ؛؛ راحه ؛؛ اجر ؛؛ انقاذ حياه ملاحظه بسيطه اتمني التبرعات السابقه في جميع المستشفيات مربوطه ببنك الدم للمتبرعين,شكر ل علي جهد في هذا تطبيق حجم شعور الذي يصلني بعد كل تبرع الله كتب اجر متعة ؛ ؛ راح ؛ ؛ اجر ؛ ؛ إنقاذ حي ملاحظ بسيط أتمنى تبرع سابق في جميع مستشفى مربوط بنك دم متبرع,ar,
Wateen,Wateen,شكراً للقائمين على التطبيق,5,شكرا للقاءمين علي التطبيق,شكر قاءم علي تطبيق,ar,
Wateen,Wateen,شكرا على القائمين على هذا البرنامج في ميزن حسناتكم,5,شكرا علي القاءمين علي هذا البرنامج في ميزن حسناتكم,شكر علي قاءم علي هذا برنامج في ميزن حسنة,ar,
Wateen,Wateen,"شكرا على ردكم الجميل والسريع لحل المشكلة, برنامج انصح به للتبرع وهو افضل برنامج يساعد بالتبرع ويشجع للتبرع ",5,شكرا علي ردكم الجميل والسريع لحل المشكله برنامج انصح به للتبرع وهو افضل برنامج يساعد بالتبرع ويشجع للتبرع,شكر علي رد جميل سريع حل مشكله برنامج انصح ب تبرع هو أفضل برنامج ساعد تبرع شجع تبرع,ar,
Wateen,Wateen,شكرا لكم لاهتمامكم بمجتمع المتبرعين بالدم ,5,شكرا لكم لاهتمامكم بمجتمع المتبرعين بالدم,شكر ل اهتمام مجتمع متبرع دم,ar,
Wateen,Wateen,"شكراا للقائمين على التطبيق 
والله يكتب الاجر للجميع",5,شكراا للقاءمين علي التطبيق والله يكتب الاجر للجميع,شكر قاءم علي تطبيق الله كتب اجر جميع,ar,
Wateen,Wateen,شي يفخر الواحد فيه و فكرته جدا رهيبه و استخدامه بسيط و أكثر شي عجبني تقرير رحلة كيس الدم و يبين لك كل شي بالتفصيل حتى معد التقرير و اللي سحب لك الدم الله يجزاه خير اللي سواه,5,شي يفخر الواحد فيه و فكرته جدا رهيبه و استخدامه بسيط و اكثر شي عجبني تقرير رحله كيس الدم و يبين لك كل شي بالتفصيل حتي معد التقرير و اللي سحب لك الدم الله يجزاه خير اللي سواه,شي فخر واحد في و فكرة جد رهيب و استخدام بسيط و أكثر شي عجبني تقرير رحل كيس دم و بين ل كل شي تفصيل حتي معد تقرير و لي سحب ل دم الله يجزا خير لي سوى,ar,
Wateen,Wateen,عملت تبرع بدم وطلع بسجل لم تتبرع ,5,عملت تبرع بدم وطلع بسجل لم تتبرع,عمل تبرع دم طلع سجل لم تبرع,ar,
Wateen,Wateen,عندي تبرعات سابقة في مستشفيات عديدة في مكة وجدة والرياض ولاهي مسجلة ولا يمكن ان اتنقل بين المناطق لكي اوثقها فهل اذا ارسلت لكم رقم الهوية تقدرون تضيفونها بحكم ارتباطكم بجميع بنوك الدم الموجودة في السعودية,5,عندي تبرعات سابقه في مستشفيات عديده في مكه وجده والرياض ولاهي مسجله ولا يمكن ان اتنقل بين المناطق لكي اوثقها فهل اذا ارسلت لكم رقم الهويه تقدرون تضيفونها بحكم ارتباطكم بجميع بنوك الدم الموجوده في السعوديه,عند تبرع سابق في مستشفى عديد في مك وجد رياض لاهي مسجل لا أمكن ان اتنقل بين منطقة كي اوثق هل اذ أرسل ل رقم هوي قدر أضاف حكم ارتباط جميع بنك دم موجود في السعوديه,ar,
Wateen,Wateen,"عندي تبرعات قديمة غير مسجلة
تقريباً عشرين تبرع في مستشفى الملك فهد في جدة",5,عندي تبرعات قديمه غير مسجله تقريبا عشرين تبرع في مستشفي الملك فهد في جده,عند تبرع قديم غير مسجل تقريب عشرون تبرع في مستشفى ملك فهد في جد,ar,
Wateen,Wateen,عندي تبرعات كثيرة قديمة يمكن في الارشيفات ولا عرفت اطلعها ليش ما تربطون التبرعات القديمة للناس وتنزلوها بالتطبيق عمل جبار وحقوق لا تضيع,5,عندي تبرعات كثيره قديمه يمكن في الارشيفات ولا عرفت اطلعها ليش ما تربطون التبرعات القديمه للناس وتنزلوها بالتطبيق عمل جبار وحقوق لا تضيع,عند تبرع كثير قديم أمكن في ارشيف لا عرف اطلع يش ما ربط تبرع قديم ناس وتنزلوها تطبيق عمل جبار حق لا ضاع,ar,
Wateen,Wateen,"عندي مشكلة في التطبيق عند وضع الصورة الشخصية وعند اضافة تاريخ الميلاد الصحيح لا يتم التحديث ونجد ملاحظة باللون الاحمر تقول بان العمر يجب ان يكون بين 12-80 سنة , ولايقبل التحديث",5,عندي مشكله في التطبيق عند وضع الصوره الشخصيه وعند اضافه تاريخ الميلاد الصحيح لا يتم التحديث ونجد ملاحظه باللون الاحمر تقول بان العمر يجب ان يكون بين سنه ولايقبل التحديث,عند مشكل في تطبيق عند وضع صورة شخصيه عند اضاف تاريخ ميلاد صحيح لا تم تحديث وجد ملاحظ لون احمر قال باني عمر وجب ان كان بين سن لايقبل تحديث,ar,
Wateen,Wateen,فريق وتين ساعد المتبرع بالأجر والمتبرع له بإنقاذ حياته شكرًا وتين♥️ ,5,فريق وتين ساعد المتبرع بالاجر والمتبرع له بانقاذ حياته شكرا وتين,فريق تين ساعد متبرع اجر متبرع ل انقاذ حياته شكرا تين,ar,
Wateen,Wateen,"فعلا تطبيق جميل وانساني ومريح
كتب الله لكم الاجر",5,فعلا تطبيق جميل وانساني ومريح كتب الله لكم الاجر,فعل تطبيق جميل انساني مريح كتب الله ل اجر,ar,
Wateen,Wateen,فكرة البرنامج رائعة وتحفز الانسان على فعل الخير,5,فكره البرنامج راءعه وتحفز الانسان علي فعل الخير,فكر برنامج راءع حفز إنسان علي فعل خير,ar,
Wateen,Wateen,فكرة التطبيق ممتاز جدالكن في تسجيل بياناتي و عند وصولي لتحديد المدينة يعيد بي من جديد حاولت مرارا ولم يتم تسجيلي ما حل هذه المشكلة,5,فكره التطبيق ممتاز جدا لكن في تسجيل بياناتي و عند وصولي لتحديد المدينه يعيد بي من جديد حاولت مرارا ولم يتم تسجيلي ما حل هذه المشكله,فكر تطبيق ممتاز جد لكن في تسجيل بيان و عند وصول تحديد مدينه أعاد بي من جديد حاول مرار لم تم تسجيلي ما حل هذا مشكله,ar,
Wateen,Wateen,فكرة ممتازةتسهل ربط راغب التبرع بالدم بالمريض المحتاج,5,فكره ممتازهتسهل ربط راغب التبرع بالدم بالمريض المحتاج,فكر ممتاز سهل ربط راغب تبرع دم مريض محتاج,ar,
Wateen,Wateen,فكره من الاساس ممتازه و آليه الربط ايضا ممتازه,5,فكره من الاساس ممتازه و اليه الربط ايضا ممتازه,فكر من اساس ممتاز و إلى ربط ايض ممتاز,ar,
Wateen,Wateen,"فكره وهي فتحنافذه للتبرع بالدم عن طريق توكلنا مثل التبرع بالاعضاء والحصول على الاوسمة من خلالها وسجلها محفوظ بالتطبيق 
ونرجو ايجاد ورقة مراجعة او عذر لتقديمه للعمل للحضور للتبرع بالدم وتكون نموذج جاهز وشهاده جاهزه لكل تبرع يقوم به",5,فكره وهي فتح نافذه للتبرع بالدم عن طريق توكلنا مثل التبرع بالاعضاء والحصول علي الاوسمه من خلالها وسجلها محفوظ بالتطبيق ونرجو ايجاد ورقه مراجعه او عذر لتقديمه للعمل للحضور للتبرع بالدم وتكون نموذج جاهز وشهاده جاهزه لكل تبرع يقوم به,فكر هي فتح نافذ تبرع دم عن طريق توكل مثل تبرع اعضاء حصول علي اوسمه من خلال سجل محفوظ تطبيق رجا إيجاد ورقة مرجع أو عذر تقديم عمل حضور تبرع دم كان نموذج جاهز شهاد جاهز كل تبرع قام ب,ar,
Wateen,Wateen,في نهاية التبرع يمكنك تقييم الخدمة👌,5,في نهايه التبرع يمكنك تقييم الخدمه,في نهاي تبرع أمكن تقييم خدم,ar,
Wateen,Wateen,قمت بالتبرع عدة مرات كثيره في مدينة عرعر ولكن لم تسجل سوى حالتين تبرع فقط,5,قمت بالتبرع عده مرات كثيره في مدينه عرعر ولكن لم تسجل سوي حالتين تبرع فقط,قام تبرع عد مرة كثير في مدين عرعر لكن لم سجل سوي حالة تبرع فقط,ar,
Wateen,Wateen,كان التطبيق سابقا لا يعمل تماما و مع آخر أزمة كرونا بعثت الحياة من جديد في التطبيق,5,كان التطبيق سابقا لا يعمل تماما و مع اخر ازمه كرونا بعثت الحياه من جديد في التطبيق,كان تطبيق سابق لا عمل تمام و مع آخر ازم كرو بعث حياه من جديد في تطبيق,ar,
Wateen,Wateen,كيف اقدر اضيف التبرع يحتاج صوره كود ولا امتلكها ,5,كيف اقدر اضيف التبرع يحتاج صوره كود ولا امتلكها,كيف أقدر اضيف تبرع احتاج صورة كود لا امتلك,ar,
Wateen,Wateen,لا بد من تحديد نوعية التبرع و التميز بين التبرع بوحدات دم و التبرع بالصفائحكما هو معلوم الصفائح ممكن التبرع بها كل أسبوعين اما وحدة الدم كل شهرينو العداد في التطبيق لا يفرق بينهممثلا منذ ثلاثة أسابيع تبرعت صفائحاليوم تبرعت وحدة دمالتطبيق لم يقبل اضافة تبرع لليوم لان عداد الأيام لم تنتهي بعد ,5,لا بد من تحديد نوعيه التبرع و التميز بين التبرع بوحدات دم و التبرع بالصفاءح كما هو معلوم الصفاءح ممكن التبرع بها كل اسبوعين اما وحده الدم كل شهرين و العداد في التطبيق لا يفرق بينهم مثلا منذ ثلاثه اسابيع تبرعت صفاءحاليوم تبرعت وحده دمالتطبيق لم يقبل اضافه تبرع لليوم لان عداد الايام لم تنتهي بعد,لا بد من تحديد نوعي تبرع و تميز بين تبرع وحدة دم و تبرع صفاءح كما هو معلوم صفاءح ممكن تبرع ب كل أسبوع اما وحد دم كل شهر و عداد في تطبيق لا فرق بين مثل منذ ثلاث أسابيع تبرع صفاءح يوم تبرع وحد دم تطبيق لم قبل اضاف تبرع يوم لان عداد يوم لم انتهى بعد,ar,
Wateen,Wateen,لا تنسون تفعلون الاشعارات بالاعدادت اللي بالتطبيق,5,لا تنسون تفعلون الاشعارات بالاعدادت اللي بالتطبيق,لا نسي فعل اشعار اعدادت لي تطبيق,ar,
Wateen,Wateen,لا نستطيع رؤية عدد التبرعات او الموعد,5,لا نستطيع رءيه عدد التبرعات او الموعد,لا استطاع رءي عدد تبرع أو موعد,ar,
Wateen,Wateen,لدي اربعين تبرع ولم احصل على وسام وتين وشهادتهم,5,لدي اربعين تبرع ولم احصل علي وسام وتين وشهادتهم,لدى أربعون تبرع لم احصل علي وسام تين شهادة,ar,
Wateen,Wateen,لدي اكثر من تبرع كيف يمكنني اضافتها الي الموقع,5,لدي اكثر من تبرع كيف يمكنني اضافتها الي الموقع,لدى أكثر من تبرع كيف أمكن اضاف الي موقع,ar,
Wateen,Wateen,لدي عدة تبرعات في مستشفى الهيئة الملكية بينبع ولم تضاف تلقائيا كبقية المستشفيات وايضا في مستشفى الملك فهد بالمدينة لدي 6 تبرعات ظاهرة في سستم المستشفى لكن لاتظهر كلها هل يمكن اضافة التبرعات المفقودة الى البرنامج,5,لدي عده تبرعات في مستشفي الهيءه الملكيه بينبع ولم تضاف تلقاءيا كبقيه المستشفيات وايضا في مستشفي الملك فهد بالمدينه لدي تبرعات ظاهره في سستم المستشفي لكن لاتظهر كلها هل يمكن اضافه التبرعات المفقوده الي البرنامج,لدى عد تبرع في مستشفى هيءه ملكيه نبع لم أضاف تلقاءيا بقي مستشفى أيض في مستشفى ملك فهد مدينه لدى تبرع ظاهر في سستم مستشفي لكن لاتظهر كل هل أمكن اضاف تبرع مفقوده الي برنامج,ar,
Wateen,Wateen,"لم استطيع التسجيل في البدايه و عند المحاوله مره اخرى بتوجيه من الاخ ابو فارس تم التسجيل 
وفقكم الله و رفع شأنكم ",5,لم استطيع التسجيل في البدايه و عند المحاوله مره اخري بتوجيه من الاخ ابو فارس تم التسجيل وفقكم الله و رفع شانكم,لم أستطيع تسجيل في بدايه و عند محاوله مر أخرى توجيه من أخ أبو فارس تم تسجيل وفق الله و رفع شان,ar,
Wateen,Wateen,ما توصلني رسالة رمز التحقق مشكورين وما قصرتو تم التبرع 👍,5,ما توصلني رساله رمز التحقق مشكورين وما قصرتو تم التبرع,ما توصلني رسال رمز تحقق مشكور ما قصرتو تم تبرع,ar,
Wateen,Wateen,ما شاء الله تبارك الله تطبيق ممتاز سبب في انقاذ ملايين المرضى,5,ما شاء الله تبارك الله تطبيق ممتاز سبب في انقاذ ملايين المرضي,ما شاء الله تبارك الله تطبيق ممتاز سبب في إنقاذ مليون مرضي,ar,
Wateen,Wateen,مبادرة ممتازة اتمنى الكل يتفاعل,5,مبادره ممتازه اتمني الكل يتفاعل,مبادر ممتاز أتمنى كل تفاعل,ar,
Wateen,Wateen,"مبادره جيده ويشكرون عليها فعلا 
ولاكن الرجاء الإسراع في حل المشكلة والحل بسيط ما ياخذ اكثر من يوم عملوشكرا",5,مبادره جيده ويشكرون عليها فعلا ولاكن الرجاء الاسراع في حل المشكله والحل بسيط ما ياخذ اكثر من يوم عمل وشكرا,مبادر جيد شكر على فعل اكن رجاء إسراع في حل مشكله حل بسيط ما ياخذ أكثر من يوم عمل شكر,ar,
Wateen,Wateen,مجهود تشكرو عليه,5,مجهود تشكرو عليه,مجهود تشكرو على,ar,
Wateen,Wateen,مجهود عظيم تشكرون عليه فعلا التبرع بالدم صار أسهل,5,مجهود عظيم تشكرون عليه فعلا التبرع بالدم صار اسهل,مجهود عظيم شكر على فعل تبرع دم صار أسهل,ar,
Wateen,Wateen,ممتاز,5,ممتاز,ممتاز,ar,
Wateen,Wateen,ممتاز,5,ممتاز,ممتاز,ar,
Wateen,Wateen,ممتاز,5,ممتاز,ممتاز,ar,
Wateen,Wateen,ممتاز,5,ممتاز,ممتاز,ar,
Wateen,Wateen,ممتاز بس ماحسبلي التبرعات اللي تبرعتها لناس يحسب التبرعات اللي بدون اسماء,5,ممتاز بس ماحسبلي التبرعات اللي تبرعتها لناس يحسب التبرعات اللي بدون اسماء,ممتاز بس ماحسبلي تبرع لي تبرع ناس حسب تبرع لي دون أسماء,ar,
Wateen,Wateen,ممتاز جدًا 👍,5,ممتاز جدا,ممتاز جد,ar,
Wateen,Wateen,ممتاز جدا,5,ممتاز جدا,ممتاز جد,ar,
Wateen,Wateen,ممتاز جدا اشكر كل القائمين عليه,5,ممتاز جدا اشكر كل القاءمين عليه,ممتاز جد أشكر كل قاءم على,ar,
Wateen,Wateen,ممتاز جدا تحجز وانت مرتاح في الوقت اللي يناسبك ويذكرك بالموعد شكرا وزارة الصحة,5,ممتاز جدا تحجز وانت مرتاح في الوقت اللي يناسبك ويذكرك بالموعد شكرا وزاره الصحه,ممتاز جد حجز أنت مرتاح في وقت لي يناسبك ذكر موعد شكر زار صحه,ar,
Wateen,Wateen,ممتاز جدا مفيد جدا خصوصا في اوقت الحضر,5,ممتاز جدا مفيد جدا خصوصا في اوقت الحضر,ممتاز جد مفيد جد خصوص في اوق حضر,ar,
Wateen,Wateen,"ممتاز جدا وخدمات سريع تبرع بالدم
ولكم جزيل الشكر والتقدير والاحترام",5,ممتاز جدا وخدمات سريع تبرع بالدم ولكم جزيل الشكر والتقدير والاحترام,ممتاز جد خدمة سريع تبرع دم ل جزل شكر تقدير احترام,ar,
Wateen,Wateen,ممتاز جدا وعملية التبرع دقيقه وسلسله,5,ممتاز جدا وعمليه التبرع دقيقه وسلسله,ممتاز جد عمل تبرع دقيق سلسل,ar,
Wateen,Wateen,ممتاز جدا ولكن عند تبرعي اليوم في مستشفى سليمان الحبيب فرع الريان طلبت الكود لتوثيق تبرعي ولكن افادوني بأنه لايوجد لديهم كود لذلك لم استطع توثيق التبرع,5,ممتاز جدا ولكن عند تبرعي اليوم في مستشفي سليمان الحبيب فرع الريان طلبت الكود لتوثيق تبرعي ولكن افادوني بانه لايوجد لديهم كود لذلك لم استطع توثيق التبرع,ممتاز جد لكن عند تبرع يوم في مستشفى سليمان حبيب فرع ريان طلب كود توثيق تبرع لكن افادوني أن لايوجد لدى كود ذلك لم أستطع توثيق تبرع,ar,
Wateen,Wateen,ممتاز جدا 👍,5,ممتاز جدا,ممتاز جد,ar,
Wateen,Wateen,ممتاز حبذا لو تعلموا المتبرع بنتيجة الفحص على التطبيق ,5,ممتاز حبذا لو تعلموا المتبرع بنتيجه الفحص علي التطبيق,ممتاز حبذا لو تعلم متبرع نتيج فحص علي تطبيق,ar,
Wateen,Wateen,ممتاز واتمنى لو تعملون سيارات تدور في أحياء كل مدينة بعد عمل موعد من خلال وتين لسحب الدم حيث الناس تخاف من العدوى في المستشفيات وخصوصاً كورونا,5,ممتاز واتمني لو تعملون سيارات تدور في احياء كل مدينه بعد عمل موعد من خلال وتين لسحب الدم حيث الناس تخاف من العدوي في المستشفيات وخصوصا كورونا,ممتاز اتمني لو عمل سيارة دار في احياء كل مدين بعد عمل موعد من خلال تين سحب دم حيث ناس خاف من عدو في مستشفى خصوص كورونا,ar,
Wateen,Wateen,ممتاز ومختصر,5,ممتاز ومختصر,ممتاز مختصر,ar,
Wateen,Wateen,"ممتاز ونأمل من الجميع بالإشتراك بالتطبيق
والله الموفق",5,ممتاز ونامل من الجميع بالاشتراك بالتطبيق والله الموفق,ممتاز نأمل من جميع اشتراك تطبيق الله موفق,ar,
Wateen,Wateen,ممتاز ووفقكم الله,5,ممتاز ووفقكم الله,ممتاز وفق الله,ar,
Wateen,Wateen,من اروع التطبيقات اللى مرت عليا الله يجزاكم الف خير,5,من اروع التطبيقات اللي مرت عليا الله يجزاكم الف خير,من أروع تطبيق لي مر علي الله يجزاكم ألف خير,ar,
Wateen,Wateen,من فرج عن أخيه المؤمن كربة من كرب الدنيا فرج الله عنه كربة من كرب يوم القيامة,5,من فرج عن اخيه المءمن كربه من كرب الدنيا فرج الله عنه كربه من كرب يوم القيامه,من فرج عن اخي مءمن كرب من كربة دنيا فرج الله عن كرب من كربة يوم قيام,ar,
Wateen,Wateen,من فضلك عندي مشكلة كل ما ادخل رقم الجوال يعطيني شئ يحدث خطأ ورقم الجوال اكيد صحيح ومش عارفه اتعامل نهائيارجوا التواصل معي لحل المشكلة,5,من فضلك عندي مشكله كل ما ادخل رقم الجوال يعطيني شء يحدث خطا ورقم الجوال اكيد صحيح ومش عارفه اتعامل نهاءيارجوا التواصل معي لحل المشكله,من فضل عند مشكل كل ما أدخل رقم جوال أعطى شء حدث خط رقم جوال أكيد صحيح مش عارف اتعامل نهاء ارج تواصل مع حل مشكله,ar,
Wateen,Wateen,مهم جدا ان يكون هنالك أيقونة لنتيجة تحليل الدم الذي تبرعت به,5,مهم جدا ان يكون هنالك ايقونه لنتيجه تحليل الدم الذي تبرعت به,مهم جد ان كان هناك ايقون نتيج تحليل دم الذي تبرع ب,ar,
Wateen,Wateen,"مهما حاولت أسجل بالتطبيق لا تصلني رسالة كود التحقق 
مع العلم أن جميع الخدمات الأخرى تصلني رسائل أكواد التحقق",5,مهما حاولت اسجل بالتطبيق لا تصلني رساله كود التحقق مع العلم ان جميع الخدمات الاخري تصلني رساءل اكواد التحقق,مهما حاول أسجل تطبيق لا وصل رسال كود تحقق مع علم ان جميع خدمة اخري وصل رساءل اكواد تحقق,ar,
Wateen,Wateen,نرجو حل المشكلة لان التطبيق مفيد جداً,5,نرجو حل المشكله لان التطبيق مفيد جدا,رجا حل مشكله لان تطبيق مفيد جد,ar,
Wateen,Wateen,نرجوا اضافه ملاحظه وشكاوي وتقييم الممرض والمستشفئ,5,نرجوا اضافه ملاحظه وشكاوي وتقييم الممرض والمستشفء,رجا اضاف ملاحظ شكاوي تقييم ممرض مستشفء,ar,
Wateen,Wateen,هذا اقل شي نقدمه للخير وللوطن وبلاد الحرمين الشرفيين 🩸👍,5,هذا اقل شي نقدمه للخير وللوطن وبلاد الحرمين الشرفيين,هذا أقل شي قدم خير وطن بلد حرم شرف,ar,
Wateen,Wateen,ونرجوا عمل خيار التبرع بالدم او الصفائح الدموية لان العداد بحسب لى ٦٠ يوم وانا بتبرع صفائح دموية فقط ومدتها ١٥ يوم ولكم تحياتى وتقديرى لشخصكم الكريم 🩸🙏🙏🙏,5,ونرجوا عمل خيار التبرع بالدم او الصفاءح الدمويه لان العداد بحسب لي يوم وانا بتبرع صفاءح دمويه فقط ومدتها يوم ولكم تحياتي وتقديري لشخصكم الكريم,رجا عمل خيار تبرع دم أو صفاءح دمويه لان عداد حسب ل يوم أنا تبرع صفاءح دموي فقط مدة يوم ل تحية تقدير شخص كريم,ar,
Wateen,Wateen,"ياليت لو يكون فيه فكرة مشاركة التبرع بشبكات التواصل لنشر أكثر للثقافة 
وكذلك عمل تحديات ومنافسات ( كقروبات المشي في نايك ) مثلا
لتحفيز العائلة والأصدقاء",5,ياليت لو يكون فيه فكره مشاركه التبرع بشبكات التواصل لنشر اكثر للثقافهوكذلك عمل تحديات ومنافسات كقروبات المشي في نايك مثلا لتحفيز العاءله والاصدقاء,ياليت لو كان في فكر مشارك تبرع شبكة تواصل نشر أكثر ثقافه ذلك عمل تحدي منافسة كقروبات مشي في نايك مثل تحفيز عاءله صديق,ar,
Wateen,Wateen,يتميز عن غيره بسهولة الاستخدامبارك الله فيكم,5,يتميز عن غيره بسهوله الاستخدام بارك الله فيكم,تميز عن غير سهل استخدام باراك الله في,ar,
Wateen,Wateen,يحتاج الى تطوير جداً لكن الفكره بطله,5,يحتاج الي تطوير جدا لكن الفكره بطله,احتاج الي تطوير جد لكن فكر بطل,ar,
Wateen,Wateen,يحفظ لك عدد مرات التبرع وجميل جدا في حجز الموعد ومعرفة متى تكون جاهز للتبرع مره اخرى,5,يحفظ لك عدد مرات التبرع وجميل جدا في حجز الموعد ومعرفه متي تكون جاهز للتبرع مره اخري,حفظ ل عدد مرة تبرع جميل جد في حجز موعد معرف متى كان جاهز تبرع مر أخرى,ar,
Wateen,Wateen,يوجد مشكلة عند التسجيل عند الوصول الى المدينه يتم اقفال البرنامج مباشرة والخروج,5,يوجد مشكله عند التسجيل عند الوصول الي المدينه يتم اقفال البرنامج مباشره والخروج,وجد مشكل عند تسجيل عند وصول الي مدينه تم اقفال برنامج مباشر خروج,ar,
Watani - We hear you,Watani,الافتاء جهة حكومية متخصصة بالفتوى وتوزيع الكتب ولهم منصة فتاوى للطلاق .. لم أجد لها تصنيفاً مناسباً في البرنامج,1,الافتاء جهه حكوميه متخصصه بالفتوى وتوزيع الكتب ولهم منصه فتاوى للطلاق لم اجد لها تصنيفا مناسبا في البرنامج,افتاء جه حكومي متخصص فتوى توزيع كتاب منص فتوى طلاق لم اجد تصنيف مناسب برنامج,ar,ال+افتاء جه+ه حكومي+ه متخصص+ه ب+ال+فتوى و+توزيع ال+كتب و+ل+هم منص+ه فتاوى ل+ال+طلاق لم أجد ل+ها تصنيف+ا مناسب+ا في ال+برنامج
Watani - We hear you,Watani,التطبيق لا يعمل,1,التطبيق لا يعمل,تطبيق لا عمل,ar,ال+تطبيق لا يعمل
Watani - We hear you,Watani,التطبيق لا يعمل,1,التطبيق لا يعمل,تطبيق لا عمل,ar,ال+تطبيق لا يعمل
Watani - We hear you,Watani,التطبيق لا يعمل تظهر رسالة خطأ بعد ادخال اي جوال,1,التطبيق لا يعمل تظهر رساله خطا بعد ادخال اي جوال,تطبيق لا عمل ظهر رسال خط ادخال جوال,ar,ال+تطبيق لا يعمل تظهر رسال+ه خطا بعد إدخال اي جوال
Watani - We hear you,Watani,التطبيق لا يعمل، ولا يوجد تجاوب او اي اهتمام لملاحظات العملاء,1,التطبيق لا يعمل ولا يوجد تجاوب او اي اهتمام لملاحظات العملاء,تطبيق لا عمل لا وجد تجاوب اهتمام ملاحظه عميل,ar,ال+تطبيق لا يعمل و+لا يوجد تجاوب أو اي اهتمام ل+ملاحظ+ات ال+عملاء
Watani - We hear you,Watani,برنامج سئ وليس فيه مواقع صحيحة للجهات الرسمية,1,برنامج سئ وليس فيه مواقع صحيحه للجهات الرسميه,برنامج سئ ليس موقع صحيح جهه رسميه,ar,برنامج سئ و+ليس في+ه مواقع صحيح+ه ل+ال+جه+ات ال+رسميه
Watani - We hear you,Watani,بطيئ و يحتوي على اخطاء برمجية.,1,بطيئ و يحتوي على اخطاء برمجيه,بطيئ احتوى اخطاء برمجي,ar,بطيئ و يحتوي على أخطاء برمجي+ه
Watani - We hear you,Watani,خانة كتابة رقم الجوال. لا يمكن الكتابة فيها ..,1,خانه كتابه رقم الجوال لا يمكن الكتابه فيها,خان كتاب رقم جوال لا امكن كتاب,ar,خان+ه كتاب+ه رقم ال+جوال لا يمكن ال+كتابه في+ها
Watani - We hear you,Watani,رسائل التحقق من رقم الجوال لا تصل,1,رسائل التحقق من رقم الجوال لا تصل,رساله تحقق رقم جوال لا وصل,ar,رسائل ال+تحقق من رقم ال+جوال لا تصل
Watani - We hear you,Watani,رسالة الرقم للتفعيل والدخول لاتصل بشكل واضح...,1,رساله الرقم للتفعيل والدخول لاتصل بشكل واضح,رسال رقم تفعيل دخول اتصل شكل واضح,ar,رسال+ه ال+رقم ل+ال+تفعيل و+ال+دخول ل+اتصل ب+شكل واضح
Watani - We hear you,Watani,عند ادخال رقم الجوال لا يقبل الدخول ويظهر لي خطأ عند الدخول,1,عند ادخال رقم الجوال لا يقبل الدخول ويظهر لي خطا عند الدخول,ادخال رقم جوال لا دخول ظهر خط دخول,ar,عند إدخال رقم ال+جوال لا يقبل ال+دخول و+يظهر لي خطا عند ال+دخول
Watani - We hear you,Watani,عند التسجيل وادخال تاريخ الميلاد يجب ان يكون هناك ايقونة فرز للسنوات,1,عند التسجيل وادخال تاريخ الميلاد يجب ان يكون هناك ايقونه فرز للسنوات,تسجيل ادخال تاريخ ميلاد وجب ايقون فرز,ar,عند ال+تسجيل و+إدخال تاريخ ال+ميلاد يجب ان يكون هناك ايقون+ه فرز ل+ال+سنو+ات
Watani - We hear you,Watani,عند إدخال رقم الجوال والضغط على الزر للارسال كود التحقق دائما يعطيني خطأ غير متوقع,1,عند ادخال رقم الجوال والضغط على الزر للارسال كود التحقق دائما يعطيني خطا غير متوقع,ادخال رقم جوال ضغط زر ارسال كود تحقق دائم اعطى خط غير متوقع,ar,عند إدخال رقم ال+جوال و+ال+ضغط على ال+زر ل+ال+إرسال كود ال+تحقق دائم+ا يعطيني خطا غير متوقع
Watani - We hear you,Watani,فرز السنوات في تاريخ الميلاد غير مفعل,1,فرز السنوات في تاريخ الميلاد غير مفعل,فرز تاريخ ميلاد غير مفعل,ar,فرز ال+سنو+ات في تاريخ ال+ميلاد غير مفعل
Watani - We hear you,Watani,لا استطيع التسجيل؟!,1,لا استطيع التسجيل,لا استطيع تسجيل,ar,لا أستطيع ال+تسجيل
Watani - We hear you,Watani,لا يعمل يعطي رساله خطأ غير مقصود,1,لا يعمل يعطي رساله خطا غير مقصود,لا عمل اعطى رسال خط غير مقصود,ar,لا يعمل يعطي رسال+ه خطا غير مقصود
